Title	URL	Assignees	Status
Check the feasibility of establishing a connection with object storage	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/58	EkaterinaIvanishcheva	Feature Archive
Establish a cloud connection between 2 connectors	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/7	daku-de	Feature Archive
Create a web frontend for tax and company	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/51	xenia1w	Feature Archive
Create a web frontend for Bank Connector	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/49	skanatova, xenia1w	Feature Archive
Update the dockerfile to accommodate three separate web frontend	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/52	EkaterinaIvanishcheva, xenia1w	Feature Archive
Upload a file in the UI frontend	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/29	skanatova	Feature Archive
Fix the bug with the button CLI	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/47	EkaterinaIvanishcheva	Feature Archive
Create design documentation	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/36	skanatova	Feature Archive
Fix bug with connector status checking (by making it dynamic according to loggedin user's role)	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/46	esracosgun	Feature Archive
Create user documentation	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/35	xenia1w	Feature Archive
Create build documentation	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/38	EkaterinaIvanishcheva	Feature Archive
Refactor and delete unused branch	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/44	xenia1w	Feature Archive
Response not showing the response text	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/32	EkaterinaIvanishcheva	Feature Archive
Create / Update the Dockerfile	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/41	EkaterinaIvanishcheva	Feature Archive
Create a button in the frontend which runs the CLI automatically	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/30	esracosgun	Feature Archive
Create UI frontend of the connector page	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/26	skanatova	Feature Archive
Create a UI design for connector	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/13	skanatova	Feature Archive
Test connector configurations	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/40	xenia1w	Feature Archive
Opening at least 3 ports for each connector	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/33	xenia1w	Feature Archive
Create UI design for a login page	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/23	skanatova	Feature Archive
Create build process video	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/24	EkaterinaIvanishcheva	Feature Archive
Establish a frontend framework	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/25	EkaterinaIvanishcheva, xenia1w	Feature Archive
Create documentation for the localhost connection process	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/10	EkaterinaIvanishcheva	Feature Archive
Create docker image output of the connector	https://github.com/amosproj/amos2024ss02-international-dataspace-station/issues/8	daku-de, esracosgun, xenia1w	Feature Archive
